pi@ubuntu:~/swarm-ros$ tail -n 600 /home/pi/.pm2/logs/ai-flight-error.log 
[INFO] [1760434489.511514930] [ai_flight_node]: [tick 003561] /ai/action -> vx=+0.467, vy=-0.289, vz=+0.415, speed=+0.424   [26.43 ms]
[INFO] [1760434489.610298450] [ai_flight_node]: [tick 003562] /ai/action -> vx=+0.469, vy=-0.288, vz=+0.414, speed=+0.424   [25.42 ms]
[INFO] [1760434489.710300705] [ai_flight_node]: [tick 003563] /ai/action -> vx=+0.469, vy=-0.288, vz=+0.414, speed=+0.424   [25.21 ms]
[INFO] [1760434489.811588360] [ai_flight_node]: [tick 003564] /ai/action -> vx=+0.470, vy=-0.287, vz=+0.413, speed=+0.424   [26.61 ms]
[INFO] [1760434489.909698816] [ai_flight_node]: [tick 003565] /ai/action -> vx=+0.470, vy=-0.287, vz=+0.413, speed=+0.425   [24.56 ms]
[INFO] [1760434490.012189738] [ai_flight_node]: [tick 003566] /ai/action -> vx=+0.470, vy=-0.287, vz=+0.413, speed=+0.425   [27.18 ms]
[INFO] [1760434490.109935562] [ai_flight_node]: [tick 003567] /ai/action -> vx=+0.471, vy=-0.286, vz=+0.412, speed=+0.425   [24.96 ms]
[INFO] [1760434490.211007177] [ai_flight_node]: [tick 003568] /ai/action -> vx=+0.471, vy=-0.286, vz=+0.412, speed=+0.425   [25.93 ms]
[INFO] [1760434490.310281784] [ai_flight_node]: [tick 003569] /ai/action -> vx=+0.473, vy=-0.286, vz=+0.411, speed=+0.425   [25.34 ms]
[INFO] [1760434490.410086176] [ai_flight_node]: [tick 003570] /ai/action -> vx=+0.473, vy=-0.285, vz=+0.411, speed=+0.425   [24.66 ms]
[INFO] [1760434490.509784632] [ai_flight_node]: [tick 003571] /ai/action -> vx=+0.474, vy=-0.285, vz=+0.411, speed=+0.425   [24.68 ms]
[INFO] [1760434490.611924047] [ai_flight_node]: [tick 003572] /ai/action -> vx=+0.470, vy=-0.305, vz=+0.413, speed=+0.424   [26.99 ms]
[INFO] [1760434490.710094189] [ai_flight_node]: [tick 003573] /ai/action -> vx=+0.470, vy=-0.304, vz=+0.413, speed=+0.424   [24.97 ms]
[INFO] [1760434490.809006717] [ai_flight_node]: [tick 003574] /ai/action -> vx=+0.472, vy=-0.303, vz=+0.412, speed=+0.424   [23.93 ms]
[INFO] [1760434490.912266483] [ai_flight_node]: [tick 003575] /ai/action -> vx=+0.472, vy=-0.303, vz=+0.412, speed=+0.424   [27.31 ms]
[INFO] [1760434491.010489488] [ai_flight_node]: [tick 003576] /ai/action -> vx=+0.473, vy=-0.302, vz=+0.411, speed=+0.424   [25.57 ms]
[INFO] [1760434491.112114846] [ai_flight_node]: [tick 003577] /ai/action -> vx=+0.473, vy=-0.302, vz=+0.411, speed=+0.424   [27.16 ms]
[INFO] [1760434491.210204311] [ai_flight_node]: [tick 003578] /ai/action -> vx=+0.475, vy=-0.301, vz=+0.410, speed=+0.424   [25.18 ms]
[INFO] [1760434491.312299038] [ai_flight_node]: [tick 003579] /ai/action -> vx=+0.475, vy=-0.301, vz=+0.410, speed=+0.424   [27.26 ms]
[INFO] [1760434491.410919173] [ai_flight_node]: [tick 003580] /ai/action -> vx=+0.476, vy=-0.300, vz=+0.409, speed=+0.424   [25.84 ms]
[INFO] [1760434491.514259823] [ai_flight_node]: [tick 003581] /ai/action -> vx=+0.476, vy=-0.300, vz=+0.409, speed=+0.424   [29.02 ms]
[INFO] [1760434491.611507787] [ai_flight_node]: [tick 003582] /ai/action -> vx=+0.477, vy=-0.299, vz=+0.409, speed=+0.424   [26.40 ms]
[INFO] [1760434491.711146295] [ai_flight_node]: [tick 003583] /ai/action -> vx=+0.477, vy=-0.299, vz=+0.409, speed=+0.424   [25.97 ms]
[INFO] [1760434491.809122375] [ai_flight_node]: [tick 003584] /ai/action -> vx=+0.477, vy=-0.299, vz=+0.409, speed=+0.424   [24.00 ms]
[INFO] [1760434491.911128510] [ai_flight_node]: [tick 003585] /ai/action -> vx=+0.479, vy=-0.298, vz=+0.408, speed=+0.424   [25.66 ms]
[INFO] [1760434492.010314471] [ai_flight_node]: [tick 003586] /ai/action -> vx=+0.474, vy=-0.318, vz=+0.410, speed=+0.423   [25.38 ms]
[INFO] [1760434492.110312141] [ai_flight_node]: [tick 003587] /ai/action -> vx=+0.476, vy=-0.317, vz=+0.410, speed=+0.423   [24.98 ms]
[INFO] [1760434492.212351191] [ai_flight_node]: [tick 003588] /ai/action -> vx=+0.476, vy=-0.317, vz=+0.409, speed=+0.423   [27.46 ms]
[INFO] [1760434492.311969229] [ai_flight_node]: [tick 003589] /ai/action -> vx=+0.477, vy=-0.316, vz=+0.409, speed=+0.423   [27.03 ms]
[INFO] [1760434492.410646082] [ai_flight_node]: [tick 003590] /ai/action -> vx=+0.478, vy=-0.316, vz=+0.409, speed=+0.423   [25.56 ms]
[INFO] [1760434492.514517349] [ai_flight_node]: [tick 003591] /ai/action -> vx=+0.479, vy=-0.315, vz=+0.408, speed=+0.423   [29.42 ms]
[INFO] [1760434492.610982093] [ai_flight_node]: [tick 003592] /ai/action -> vx=+0.479, vy=-0.314, vz=+0.408, speed=+0.423   [26.07 ms]
[INFO] [1760434492.709419886] [ai_flight_node]: [tick 003593] /ai/action -> vx=+0.480, vy=-0.313, vz=+0.407, speed=+0.423   [24.30 ms]
[INFO] [1760434492.809981246] [ai_flight_node]: [tick 003594] /ai/action -> vx=+0.480, vy=-0.313, vz=+0.407, speed=+0.423   [24.91 ms]
[INFO] [1760434492.911935297] [ai_flight_node]: [tick 003595] /ai/action -> vx=+0.481, vy=-0.313, vz=+0.406, speed=+0.423   [26.95 ms]
[INFO] [1760434493.010562775] [ai_flight_node]: [tick 003596] /ai/action -> vx=+0.481, vy=-0.312, vz=+0.406, speed=+0.424   [25.64 ms]
[INFO] [1760434493.111091947] [ai_flight_node]: [tick 003597] /ai/action -> vx=+0.483, vy=-0.312, vz=+0.406, speed=+0.424   [25.92 ms]
[INFO] [1760434493.211592682] [ai_flight_node]: [tick 003598] /ai/action -> vx=+0.483, vy=-0.311, vz=+0.406, speed=+0.424   [26.50 ms]
[INFO] [1760434493.310291200] [ai_flight_node]: [tick 003599] /ai/action -> vx=+0.483, vy=-0.311, vz=+0.405, speed=+0.424   [25.17 ms]
[INFO] [1760434493.409018884] [ai_flight_node]: [tick 003600] /ai/action -> vx=+0.479, vy=-0.331, vz=+0.407, speed=+0.422   [23.80 ms]
[INFO] [1760434493.511875996] [ai_flight_node]: [tick 003601] /ai/action -> vx=+0.479, vy=-0.330, vz=+0.407, speed=+0.423   [26.82 ms]
[INFO] [1760434493.610867427] [ai_flight_node]: [tick 003602] /ai/action -> vx=+0.481, vy=-0.329, vz=+0.407, speed=+0.423   [25.79 ms]
[INFO] [1760434493.708934130] [ai_flight_node]: [tick 003603] /ai/action -> vx=+0.481, vy=-0.329, vz=+0.407, speed=+0.423   [23.83 ms]
[INFO] [1760434493.812072176] [ai_flight_node]: [tick 003604] /ai/action -> vx=+0.483, vy=-0.328, vz=+0.406, speed=+0.423   [27.22 ms]
[INFO] [1760434493.910890953] [ai_flight_node]: [tick 003605] /ai/action -> vx=+0.483, vy=-0.328, vz=+0.406, speed=+0.423   [25.80 ms]
[INFO] [1760434493.996495935] [ai_flight_node]: [tick 003606] /ai/action -> vx=+0.484, vy=-0.327, vz=+0.405, speed=+0.423   [11.08 ms]
[INFO] [1760434494.109234278] [ai_flight_node]: [tick 003607] /ai/action -> vx=+0.484, vy=-0.326, vz=+0.405, speed=+0.423   [24.00 ms]
[INFO] [1760434494.210907967] [ai_flight_node]: [tick 003608] /ai/action -> vx=+0.485, vy=-0.325, vz=+0.404, speed=+0.423   [25.38 ms]
